,time,volume,open,close,high,low
0,2022-02-01 07:00:00+00:00,759.75,88.61,88.85,89.06,88.1
1,2022-02-01 08:00:00+00:00,2555.93,88.87,90.09,90.54,88.87
2,2022-02-01 09:00:00+00:00,960.03,90.14,90.19,90.28,89.65
3,2022-02-01 10:00:00+00:00,919.14,90.17,90.29,90.98,89.96
4,2022-02-01 11:00:00+00:00,996.24,90.35,90.79,91.01,90.19
5,2022-02-01 12:00:00+00:00,660.06,90.78,89.85,90.83,89.82
6,2022-02-01 13:00:00+00:00,535.74,89.88,90.26,90.31,89.47
7,2022-02-01 14:00:00+00:00,630.93,90.26,89.53,90.3,89.0
8,2022-02-01 15:00:00+00:00,869.96,89.49,89.84,90.09,89.03
9,2022-02-01 16:00:00+00:00,281.77,89.93,89.41,90.25,89.06
10,2022-02-01 17:00:00+00:00,210.65,89.34,89.52,89.52,88.82
11,2022-02-01 18:00:00+00:00,102.22,89.52,89.57,89.77,89.3
12,2022-02-01 19:00:00+00:00,68.41,89.59,89.59,89.72,89.29
13,2022-02-01 20:00:00+00:00,183.08,89.59,90.17,90.23,89.49
14,2022-02-02 07:00:00+00:00,626.68,90.58,89.95,90.69,89.58
15,2022-02-02 08:00:00+00:00,1042.18,89.95,89.81,90.41,89.02
16,2022-02-02 09:00:00+00:00,296.46,89.81,89.45,90.08,89.34
17,2022-02-02 10:00:00+00:00,1650.09,89.38,87.87,89.45,87.08
18,2022-02-02 11:00:00+00:00,670.94,87.91,88.3,88.76,87.47
19,2022-02-02 12:00:00+00:00,1058.54,88.24,89.14,89.47,88.04
20,2022-02-02 13:00:00+00:00,551.15,89.14,88.78,89.36,88.67
21,2022-02-02 14:00:00+00:00,787.66,88.79,88.6,89.07,88.01
22,2022-02-02 15:00:00+00:00,855.63,88.56,88.22,88.56,87.31
23,2022-02-02 16:00:00+00:00,287.43,87.94,87.95,88.02,87.23
24,2022-02-02 17:00:00+00:00,130.28,87.95,88.2,88.27,87.87
25,2022-02-02 18:00:00+00:00,91.48,88.23,88.43,88.5,87.93
26,2022-02-02 19:00:00+00:00,77.79,88.43,88.13,88.47,88.03
27,2022-02-02 20:00:00+00:00,92.67,88.15,88.4,88.5,88.13
28,2022-02-03 07:00:00+00:00,1145.58,85.98,85.42,86.03,84.74
29,2022-02-03 08:00:00+00:00,1288.64,85.36,83.6,86.41,83.59
30,2022-02-03 09:00:00+00:00,1684.68,83.65,81.75,84.23,81.46
31,2022-02-03 10:00:00+00:00,1088.17,81.78,82.58,83.09,81.61
32,2022-02-03 11:00:00+00:00,695.6,82.59,82.87,83.61,82.55
33,2022-02-03 12:00:00+00:00,901.58,82.8,82.71,83.58,82.41
34,2022-02-03 13:00:00+00:00,489.58,82.71,82.71,83.39,82.69
35,2022-02-03 14:00:00+00:00,727.07,82.74,82.28,82.87,82.16
36,2022-02-03 15:00:00+00:00,838.23,82.28,83.02,83.21,82.17
37,2022-02-03 16:00:00+00:00,363.28,83.02,83.07,83.47,82.19
38,2022-02-03 17:00:00+00:00,138.16,83.02,83.09,83.15,82.49
39,2022-02-03 18:00:00+00:00,135.49,83.09,83.44,83.44,82.94
40,2022-02-03 19:00:00+00:00,144.77,83.4,83.24,83.79,83.09
41,2022-02-03 20:00:00+00:00,124.78,83.22,83.33,83.63,83.09
42,2022-02-04 07:00:00+00:00,696.49,84.97,85.16,85.9,84.46
43,2022-02-04 08:00:00+00:00,1083.23,85.19,83.95,85.46,83.88
44,2022-02-04 09:00:00+00:00,450.06,83.93,84.57,85.0,83.93
45,2022-02-04 10:00:00+00:00,793.39,84.59,83.8,84.66,83.19
46,2022-02-04 11:00:00+00:00,625.36,83.79,83.33,83.82,82.94
47,2022-02-04 12:00:00+00:00,268.78,83.36,83.29,83.68,83.1
48,2022-02-04 13:00:00+00:00,651.86,83.29,81.97,83.41,81.83
49,2022-02-04 14:00:00+00:00,903.27,81.93,81.63,81.95,80.9
50,2022-02-04 15:00:00+00:00,1139.98,81.63,81.44,81.97,81.33
51,2022-02-04 16:00:00+00:00,352.49,81.58,81.99,82.77,81.19
52,2022-02-04 17:00:00+00:00,161.75,81.97,82.48,82.67,81.62
53,2022-02-04 18:00:00+00:00,153.17,82.48,82.41,82.59,82.15
54,2022-02-04 19:00:00+00:00,89.34,82.41,82.28,82.44,81.97
55,2022-02-04 20:00:00+00:00,187.82,82.28,82.52,82.56,82.1
56,2022-02-07 07:00:00+00:00,509.56,83.71,82.84,83.76,81.86
57,2022-02-07 08:00:00+00:00,991.07,82.84,80.49,83.06,80.17
58,2022-02-07 09:00:00+00:00,664.85,80.46,79.8,80.85,79.62
59,2022-02-07 10:00:00+00:00,747.22,79.81,79.9,80.07,79.16
60,2022-02-07 11:00:00+00:00,551.82,79.91,80.05,81.11,79.91
61,2022-02-07 12:00:00+00:00,320.81,80.06,79.91,80.44,79.79
62,2022-02-07 13:00:00+00:00,240.56,79.98,80.11,80.54,79.94
