,time,volume,open,close,high,low
0,2022-02-01 07:00:00+00:00,5942,72.73,72.36,72.73,71.65
1,2022-02-01 08:00:00+00:00,12134,72.39,73.47,73.73,72.39
2,2022-02-01 09:00:00+00:00,3381,73.42,73.52,73.66,73.21
3,2022-02-01 10:00:00+00:00,6993,73.56,73.84,74.21,73.41
4,2022-02-01 11:00:00+00:00,6529,73.84,74.46,74.68,73.8
5,2022-02-01 12:00:00+00:00,5021,74.46,73.62,74.52,73.58
6,2022-02-01 13:00:00+00:00,2660,73.61,73.81,73.9,73.3
7,2022-02-01 14:00:00+00:00,4267,73.87,73.44,73.91,73.01
8,2022-02-01 15:00:00+00:00,4983,73.36,73.7,73.8,72.93
9,2022-02-01 16:00:00+00:00,3106,73.67,73.54,73.93,73.53
10,2022-02-02 07:00:00+00:00,8302,73.54,73.79,74.62,73.54
11,2022-02-02 08:00:00+00:00,5621,73.84,74.0,74.28,73.26
12,2022-02-02 09:00:00+00:00,1927,73.91,73.61,74.19,73.58
13,2022-02-02 10:00:00+00:00,11368,73.6,72.7,73.71,71.86
14,2022-02-02 11:00:00+00:00,2644,72.7,73.0,73.35,72.44
15,2022-02-02 12:00:00+00:00,6929,72.92,73.84,73.87,72.75
16,2022-02-02 13:00:00+00:00,6022,73.84,73.3,74.04,73.28
17,2022-02-02 14:00:00+00:00,3965,73.34,72.85,73.4,72.54
18,2022-02-02 15:00:00+00:00,5157,72.85,72.2,72.93,71.9
19,2022-02-02 16:00:00+00:00,5782,72.08,71.7,72.63,71.05
20,2022-02-03 07:00:00+00:00,10926,71.0,69.86,71.0,69.15
21,2022-02-03 08:00:00+00:00,10174,69.87,68.49,70.68,66.6
22,2022-02-03 09:00:00+00:00,8673,68.43,67.14,68.91,66.84
23,2022-02-03 10:00:00+00:00,6509,67.14,67.76,68.06,67.0
24,2022-02-03 11:00:00+00:00,3746,67.71,67.87,68.68,67.71
25,2022-02-03 12:00:00+00:00,2915,67.95,68.15,68.78,67.85
26,2022-02-03 13:00:00+00:00,1273,68.15,68.16,68.53,68.0
27,2022-02-03 14:00:00+00:00,2279,68.09,67.52,68.22,67.5
28,2022-02-03 15:00:00+00:00,1592,67.76,68.2,68.42,67.5
29,2022-02-03 16:00:00+00:00,2279,68.2,68.6,68.65,68.1
30,2022-02-04 07:00:00+00:00,5563,70.85,70.3,70.89,69.15
31,2022-02-04 08:00:00+00:00,7661,70.48,69.31,70.63,69.31
32,2022-02-04 09:00:00+00:00,1333,69.31,69.97,70.32,69.31
33,2022-02-04 10:00:00+00:00,2303,69.92,69.39,70.07,68.96
34,2022-02-04 11:00:00+00:00,1836,69.33,68.99,69.48,68.85
35,2022-02-04 12:00:00+00:00,1185,69.04,68.76,69.13,68.75
36,2022-02-04 13:00:00+00:00,2660,68.76,67.55,68.77,67.52
37,2022-02-04 14:00:00+00:00,4713,67.51,67.33,67.53,66.71
38,2022-02-04 15:00:00+00:00,3330,67.48,67.14,67.85,66.82
39,2022-02-07 04:00:00+00:00,1207,69.0,68.37,70.5,67.2
40,2022-02-07 05:00:00+00:00,736,68.37,68.14,70.07,67.63
41,2022-02-07 06:00:00+00:00,1367,67.95,69.11,69.5,67.55
42,2022-02-07 07:00:00+00:00,3736,69.25,68.73,69.94,67.8
43,2022-02-07 08:00:00+00:00,5687,68.8,66.78,68.95,66.51
44,2022-02-07 09:00:00+00:00,4216,66.73,66.37,67.15,66.03
45,2022-02-07 10:00:00+00:00,2981,66.37,66.55,66.6,65.7
46,2022-02-07 11:00:00+00:00,2036,66.57,66.64,67.44,66.51
47,2022-02-07 12:00:00+00:00,1212,66.64,66.61,66.92,66.51
48,2022-02-07 13:00:00+00:00,2223,66.53,66.63,66.94,66.52
49,2022-02-07 14:00:00+00:00,1596,66.63,66.5,66.74,66.39
50,2022-02-07 15:00:00+00:00,2133,66.51,66.43,66.62,65.8
51,2022-02-07 16:00:00+00:00,1507,66.16,66.0,66.39,66.0
52,2022-02-08 04:00:00+00:00,1682,65.7,66.26,67.98,65.1
53,2022-02-08 05:00:00+00:00,855,66.54,66.48,66.96,65.77
54,2022-02-08 06:00:00+00:00,1338,66.45,67.46,67.5,66.39
55,2022-02-08 07:00:00+00:00,7802,67.44,66.87,67.48,66.79
56,2022-02-08 08:00:00+00:00,4576,66.87,65.85,66.87,65.22
57,2022-02-08 09:00:00+00:00,2003,65.85,65.83,65.95,65.47
58,2022-02-08 10:00:00+00:00,7005,65.86,65.57,65.98,64.78
59,2022-02-08 11:00:00+00:00,1659,65.5,65.67,65.67,65.37
60,2022-02-08 12:00:00+00:00,937,65.64,65.79,65.9,65.4
61,2022-02-08 13:00:00+00:00,1225,65.79,65.58,65.98,65.42
62,2022-02-08 14:00:00+00:00,1610,65.55,66.15,66.59,65.5
63,2022-02-08 15:00:00+00:00,2633,66.26,66.44,66.54,65.31
64,2022-02-08 16:00:00+00:00,2658,66.4,66.5,66.5,65.96
65,2022-02-09 04:00:00+00:00,5555,66.6,69.4,70.8,66.6
66,2022-02-09 05:00:00+00:00,4058,69.53,69.3,70.7,68.52
67,2022-02-09 06:00:00+00:00,2666,69.3,69.14,69.99,69.01
68,2022-02-09 07:00:00+00:00,5633,69.13,69.34,69.98,68.57
69,2022-02-09 08:00:00+00:00,14997,69.33,71.93,72.0,68.95
70,2022-02-09 09:00:00+00:00,11979,71.93,72.2,72.37,71.64
71,2022-02-09 10:00:00+00:00,7926,72.25,71.99,72.36,71.6
72,2022-02-09 11:00:00+00:00,8955,72.0,73.45,73.86,71.91
73,2022-02-09 12:00:00+00:00,11581,73.48,73.77,74.0,73.26
74,2022-02-09 13:00:00+00:00,16406,73.74,75.02,75.26,73.52
75,2022-02-09 14:00:00+00:00,18231,75.02,75.0,75.69,73.25
76,2022-02-09 15:00:00+00:00,14899,75.17,75.9,76.25,74.48
77,2022-02-09 16:00:00+00:00,7289,75.91,76.5,77.0,75.5
78,2022-02-10 04:00:00+00:00,12403,76.22,74.5,76.22,72.42
79,2022-02-10 05:00:00+00:00,4559,74.04,73.5,75.24,73.33
80,2022-02-10 06:00:00+00:00,4780,73.91,75.19,75.91,73.53
81,2022-02-10 07:00:00+00:00,14664,75.2,77.8,78.0,74.72
82,2022-02-10 08:00:00+00:00,24644,77.89,77.95,79.5,77.26
83,2022-02-10 09:00:00+00:00,15694,77.98,79.41,80.0,77.96
84,2022-02-10 10:00:00+00:00,17724,79.45,80.68,80.99,79.41
85,2022-02-10 11:00:00+00:00,8099,80.78,80.47,80.85,79.99
86,2022-02-10 12:00:00+00:00,9049,80.47,80.76,80.78,79.93
87,2022-02-10 13:00:00+00:00,23811,80.71,79.59,80.93,78.1
88,2022-02-10 14:00:00+00:00,18120,79.7,80.02,80.29,78.05
89,2022-02-10 15:00:00+00:00,8849,80.11,79.94,80.26,79.22
90,2022-02-10 16:00:00+00:00,1444,79.94,79.44,79.98,79.44
91,2022-02-11 04:00:00+00:00,7837,77.85,77.05,79.23,76.8
92,2022-02-11 05:00:00+00:00,7998,77.11,77.09,78.48,74.55
93,2022-02-11 06:00:00+00:00,2234,77.08,76.51,77.5,76.17
94,2022-02-11 07:00:00+00:00,9368,76.53,77.82,79.0,76.21
95,2022-02-11 08:00:00+00:00,19645,77.85,74.94,77.85,74.26
96,2022-02-11 09:00:00+00:00,12322,74.81,74.05,74.96,73.04
97,2022-02-11 10:00:00+00:00,6695,74.0,74.78,75.15,73.75
98,2022-02-11 11:00:00+00:00,5521,74.77,74.1,75.98,73.71
99,2022-02-11 12:00:00+00:00,5059,74.1,74.16,74.72,73.4
100,2022-02-11 13:00:00+00:00,5513,74.15,74.1,74.88,73.41
101,2022-02-11 14:00:00+00:00,3948,74.11,73.93,74.55,73.8
102,2022-02-11 15:00:00+00:00,22487,74.17,71.03,74.19,70.65
103,2022-02-11 16:00:00+00:00,12457,70.94,70.24,71.48,70.14
104,2022-02-14 04:00:00+00:00,15122,69.95,67.4,70.24,63.36
105,2022-02-14 05:00:00+00:00,6557,67.39,68.59,69.02,66.03
106,2022-02-14 06:00:00+00:00,9266,68.59,68.9,71.79,68.35
107,2022-02-14 07:00:00+00:00,12624,69.16,70.18,72.0,69.16
108,2022-02-14 08:00:00+00:00,32165,70.1,67.4,71.0,67.3
109,2022-02-14 09:00:00+00:00,11793,67.57,66.98,68.75,66.97
110,2022-02-14 10:00:00+00:00,6725,66.92,68.1,68.98,66.64
111,2022-02-14 11:00:00+00:00,8813,68.14,67.26,68.46,67.1
112,2022-02-14 12:00:00+00:00,15260,67.26,68.87,69.88,67.1
113,2022-02-14 13:00:00+00:00,15881,68.96,68.28,70.0,67.87
114,2022-02-14 14:00:00+00:00,9818,68.3,67.85,68.5,67.58
115,2022-02-14 15:00:00+00:00,9680,67.85,67.37,68.36,67.28
116,2022-02-14 16:00:00+00:00,8672,67.38,67.1,68.99,67.04
117,2022-02-15 04:00:00+00:00,11780,67.52,70.5,71.59,66.99
118,2022-02-15 05:00:00+00:00,4376,70.5,70.3,71.29,69.43
119,2022-02-15 06:00:00+00:00,4266,70.3,70.98,71.19,70.15
120,2022-02-15 07:00:00+00:00,9926,70.75,69.7,70.95,69.01
121,2022-02-15 08:00:00+00:00,31048,69.79,73.4,73.5,69.21
122,2022-02-15 09:00:00+00:00,22087,73.49,72.95,73.98,72.62
123,2022-02-15 10:00:00+00:00,25395,73.1,73.01,75.0,72.33
124,2022-02-15 11:00:00+00:00,6702,73.1,73.81,74.22,72.75
125,2022-02-15 12:00:00+00:00,5653,73.8,73.34,74.18,73.34
126,2022-02-15 13:00:00+00:00,11581,73.43,71.39,73.64,71.01
127,2022-02-15 14:00:00+00:00,15405,71.35,71.2,72.15,70.35
128,2022-02-15 15:00:00+00:00,11639,71.05,71.46,72.45,71.05
129,2022-02-15 16:00:00+00:00,6184,71.45,71.0,71.9,70.9
130,2022-02-16 04:00:00+00:00,15668,72.1,74.5,75.0,71.9
131,2022-02-16 05:00:00+00:00,15145,74.5,74.72,74.99,73.2
132,2022-02-16 06:00:00+00:00,11096,74.7,74.87,75.8,74.51
133,2022-02-16 07:00:00+00:00,15255,74.67,73.6,75.0,73.0
134,2022-02-16 08:00:00+00:00,44431,73.51,72.71,73.94,71.65
135,2022-02-16 09:00:00+00:00,14094,72.69,71.36,72.94,71.2
136,2022-02-16 10:00:00+00:00,9341,71.45,72.36,72.5,71.36
137,2022-02-16 11:00:00+00:00,5697,72.39,72.35,72.75,72.12
138,2022-02-16 12:00:00+00:00,19978,72.35,71.96,72.5,71.7
139,2022-02-16 13:00:00+00:00,4152,71.96,71.7,72.16,71.48
140,2022-02-16 14:00:00+00:00,3924,71.74,71.9,72.35,71.51
141,2022-02-16 15:00:00+00:00,5421,71.86,71.58,72.55,71.58
142,2022-02-16 16:00:00+00:00,2913,71.66,72.0,72.36,71.48
143,2022-02-17 04:00:00+00:00,12552,72.7,69.7,72.9,68.26
144,2022-02-17 05:00:00+00:00,3876,69.71,69.13,70.2,69.1
145,2022-02-17 06:00:00+00:00,10279,69.13,69.68,70.0,68.0
146,2022-02-17 07:00:00+00:00,5071,69.67,69.36,69.68,68.7
147,2022-02-17 08:00:00+00:00,24738,69.27,68.69,69.8,67.77
148,2022-02-17 09:00:00+00:00,9275,68.69,68.73,69.2,68.63
149,2022-02-17 10:00:00+00:00,5083,68.75,69.07,69.34,68.69
150,2022-02-17 11:00:00+00:00,9191,69.07,68.7,69.07,68.26
151,2022-02-17 12:00:00+00:00,5333,68.8,69.0,69.19,68.68
152,2022-02-17 13:00:00+00:00,8815,69.0,68.1,69.22,67.88
153,2022-02-17 14:00:00+00:00,9739,68.07,67.67,68.44,67.58
154,2022-02-17 15:00:00+00:00,7917,67.67,67.98,68.36,67.59
155,2022-02-17 16:00:00+00:00,5907,67.98,67.94,68.4,67.74
156,2022-02-18 04:00:00+00:00,6784,67.94,69.36,69.89,67.9
157,2022-02-18 05:00:00+00:00,2056,69.32,69.35,69.41,69.0
158,2022-02-18 06:00:00+00:00,4181,69.34,68.24,69.35,68.0
159,2022-02-18 07:00:00+00:00,5380,68.22,68.05,69.14,67.61
160,2022-02-18 08:00:00+00:00,30914,67.91,64.98,67.91,64.63
161,2022-02-18 09:00:00+00:00,16721,64.85,65.15,65.75,64.71
162,2022-02-18 10:00:00+00:00,9949,65.09,64.9,65.58,64.72
163,2022-02-18 11:00:00+00:00,8500,64.86,64.37,64.96,64.11
164,2022-02-18 12:00:00+00:00,6258,64.37,64.83,65.17,64.26
165,2022-02-18 13:00:00+00:00,12005,64.84,63.69,65.39,63.69
166,2022-02-18 14:00:00+00:00,16537,63.69,64.13,64.39,62.81
167,2022-02-18 15:00:00+00:00,11662,64.13,62.88,64.2,62.63
168,2022-02-18 16:00:00+00:00,12307,62.95,61.8,62.97,61.77
169,2022-02-21 07:00:00+00:00,5162,63.31,61.3,63.99,61.0
170,2022-02-21 08:00:00+00:00,43343,61.26,59.8,62.19,57.7
171,2022-02-21 09:00:00+00:00,10340,59.77,59.74,60.1,59.23
172,2022-02-21 10:00:00+00:00,8505,59.65,58.59,60.0,58.55
173,2022-02-21 11:00:00+00:00,18794,58.59,58.69,58.99,57.47
174,2022-02-21 12:00:00+00:00,14833,58.57,57.87,59.02,57.6
175,2022-02-21 13:00:00+00:00,17480,57.8,56.78,57.98,56.53
176,2022-02-21 14:00:00+00:00,44676,56.78,56.06,57.76,55.0
177,2022-02-21 15:00:00+00:00,31163,56.05,58.27,58.49,55.99
178,2022-02-21 16:00:00+00:00,7802,58.09,58.0,59.32,57.73
179,2022-02-22 04:00:00+00:00,22769,57.0,54.99,57.7,52.0
180,2022-02-22 05:00:00+00:00,9940,54.9,55.47,57.35,54.56
181,2022-02-22 06:00:00+00:00,13264,55.45,53.59,55.45,53.0
182,2022-02-22 07:00:00+00:00,27906,53.6,52.76,54.34,50.5
183,2022-02-22 08:00:00+00:00,28951,52.89,50.12,54.0,50.02
184,2022-02-22 09:00:00+00:00,20237,50.12,51.1,53.28,50.0
185,2022-02-22 10:00:00+00:00,17771,51.12,52.99,53.67,50.72
186,2022-02-22 11:00:00+00:00,19353,53.1,53.32,53.91,52.54
187,2022-02-22 12:00:00+00:00,44271,53.29,54.0,55.5,52.46
188,2022-02-22 13:00:00+00:00,16714,53.92,55.08,55.2,53.39
189,2022-02-22 14:00:00+00:00,30088,55.09,57.15,59.6,54.5
190,2022-02-22 15:00:00+00:00,20173,57.15,55.87,58.5,55.83
191,2022-02-22 16:00:00+00:00,18735,55.84,54.4,56.12,53.89
192,2022-02-23 04:00:00+00:00,15389,56.85,61.56,62.28,55.77
193,2022-02-23 05:00:00+00:00,9580,61.55,61.0,62.3,60.38
194,2022-02-23 06:00:00+00:00,9101,61.2,60.0,61.64,58.7
195,2022-02-23 07:00:00+00:00,11266,60.01,59.27,60.79,58.86
196,2022-02-23 08:00:00+00:00,56962,59.27,55.52,59.27,53.52
197,2022-02-23 09:00:00+00:00,25019,55.53,53.98,55.54,53.62
198,2022-02-23 10:00:00+00:00,21531,54.14,52.76,54.15,52.64
199,2022-02-23 11:00:00+00:00,18883,52.87,51.59,53.2,51.23
200,2022-02-23 12:00:00+00:00,36214,51.64,52.23,54.24,51.57
201,2022-02-23 13:00:00+00:00,9490,52.11,52.68,53.48,51.8
202,2022-02-23 14:00:00+00:00,18266,52.97,52.0,53.23,51.7
203,2022-02-23 15:00:00+00:00,28067,52.08,50.25,52.84,50.1
204,2022-02-23 16:00:00+00:00,44711,50.22,49.71,51.71,49.71
205,2022-02-24 04:00:00+00:00,23533,49.0,41.53,49.9,41.53
206,2022-02-24 05:00:00+00:00,1023,41.53,41.53,41.53,41.53
207,2022-02-24 14:00:00+00:00,437373,41.52,22.98,41.52,18.61
208,2022-02-24 15:00:00+00:00,252610,22.98,26.31,35.0,20.13
209,2022-02-24 16:00:00+00:00,148986,26.39,20.5,29.7,20.5
